,1. open,2. high,3. low,4. close
2005-05-27,108.19,108.3,107.19,108.01
2005-06-03,108.02,108.86,107.47,107.57
2005-06-10,107.74,108.69,106.47,108.65
2005-06-17,108.63,109.7,108.4,108.58
2005-06-24,108.8,109.6,108.13,109.02
2005-07-01,109.19,111.85,109.02,111.74
2005-07-08,111.65,112.56,111.28,112.26
2005-07-15,112.14,112.41,110.74,112.21
2005-07-22,112.23,113.71,109.87,111.31
2005-07-29,111.27,112.87,111.16,112.71
2005-08-05,112.48,112.77,110.72,111.8
2005-08-12,112.2,112.61,109.26,109.44
2005-08-19,109.42,110.82,109.0,110.4
2005-08-26,110.43,110.72,109.32,110.19
2005-09-02,110.1,111.78,109.17,109.59
2005-09-09,109.71,110.74,108.73,109.68
2005-09-16,109.68,111.46,109.14,111.34
2005-09-23,111.34,112.45,110.95,112.4
2005-09-30,112.44,113.71,112.06,113.5
2005-10-07,113.5,114.41,113.0,113.77
2005-10-14,113.77,115.09,113.5,113.99
2005-10-21,114.15,115.98,113.74,115.9
2005-10-28,115.85,116.22,114.59,115.66
2005-11-04,115.7,118.34,115.52,118.19
2005-11-11,118.23,118.38,116.82,117.96
2005-11-18,117.99,119.56,117.83,119.13
2005-11-25,119.09,119.69,118.19,119.61
2005-12-02,119.64,121.22,118.32,120.51
2005-12-09,120.94,121.39,119.94,120.59
2005-12-16,120.65,121.05,115.6,115.71
2005-12-23,115.69,117.64,115.5,116.29
2005-12-30,116.26,118.17,115.97,118.02
2006-01-06,118.02,118.07,114.2,114.38
2006-01-13,114.29,114.89,113.39,114.18
2006-01-20,114.19,115.91,113.77,115.22
2006-01-27,115.22,117.44,114.12,117.28
2006-02-03,117.26,119.39,116.66,118.94
2006-02-10,118.78,119.17,116.85,117.92
2006-02-17,117.76,118.53,116.72,118.18
2006-02-24,118.16,118.98,116.41,116.85
2006-03-03,116.84,117.13,115.44,116.44
2006-03-10,116.37,119.13,116.03,119.06
2006-03-17,118.91,119.19,115.67,115.82
2006-03-24,116.08,118.48,115.49,117.48
2006-03-31,117.56,118.21,116.25,117.69
2006-04-07,117.74,118.8,116.67,118.27
2006-04-14,118.17,118.89,117.8,118.65
2006-04-21,118.55,118.58,116.57,116.65
2006-04-28,115.93,115.96,113.63,113.84
2006-05-05,113.63,114.16,112.21,112.45
2006-05-12,111.93,112.18,109.3,110.01
2006-05-19,109.63,112.2,108.96,111.72
2006-05-26,111.84,112.95,110.98,112.69
2006-06-02,112.64,113.36,111.29,111.57
2006-06-09,111.64,114.7,111.42,113.97
2006-06-16,114.08,115.44,113.95,115.11
2006-06-23,115.22,116.58,114.36,116.55
2006-06-30,116.46,116.69,114.14,114.42
2006-07-07,114.33,115.78,113.78,113.9
2006-07-14,113.86,116.38,113.33,116.2
2006-07-21,116.37,117.87,115.8,116.18
2006-07-28,116.14,117.39,114.59,114.78
2006-08-04,114.66,115.54,113.94,114.4
2006-08-11,114.19,116.42,114.15,116.3
2006-08-18,116.36,116.74,115.18,115.8
2006-08-25,115.69,117.4,115.34,117.27
2006-09-01,117.27,117.48,116.51,117.09
2006-09-08,117.08,117.09,115.56,116.89
2006-09-15,116.93,118.14,116.62,117.54
2006-09-22,117.9,118.27,116.07,116.51
2006-09-29,116.46,118.19,116.12,118.17
2006-10-06,118.11,119.1,117.38,119.01
2006-10-13,118.97,119.87,118.82,119.62
2006-10-20,119.69,119.79,118.04,118.7
2006-10-27,118.72,119.65,117.15,117.6
2006-11-03,117.45,118.19,116.57,118.0
2006-11-10,118.03,118.58,117.19,117.54
2006-11-17,117.57,118.46,117.12,117.74
2006-11-24,117.86,118.25,115.59,115.83
2006-12-01,115.7,116.55,114.98,115.43
2006-12-08,115.42,116.48,114.44,116.32
2006-12-15,116.39,118.32,116.16,118.16
2006-12-22,117.96,118.95,117.69,118.84
2006-12-29,118.87,119.2,118.27,119.05
2007-01-05,119.04,119.67,117.98,118.62
2007-01-12,118.64,120.72,118.09,120.32
2007-01-19,120.44,121.58,120.21,121.22
2007-01-26,121.23,121.79,120.19,121.52
2007-02-02,121.5,122.17,120.11,121.1
2007-02-09,121.08,121.74,119.97,121.7
2007-02-16,121.81,122.09,118.98,119.41
2007-02-23,119.4,121.63,119.22,121.06
2007-03-02,121.0,121.06,116.41,116.8
2007-03-09,116.74,118.37,115.14,118.32
2007-03-16,118.32,118.48,115.75,116.73
2007-03-23,116.41,118.29,116.24,118.07
2007-03-30,118.07,118.42,116.37,117.81
2007-04-06,117.52,119.38,117.45,119.25
2007-04-13,119.26,119.56,118.21,119.23
2007-04-20,119.36,119.86,117.61,118.67
2007-04-27,118.74,119.75,118.22,119.61
2007-05-04,119.3,120.46,119.07,120.18
2007-05-11,120.11,120.53,119.47,120.18
2007-05-18,120.2,121.39,120.05,121.11
2007-05-25,121.1,121.88,120.85,121.78
2007-06-01,121.76,122.13,121.19,122.07
2007-06-08,122.05,122.11,120.77,121.71
2007-06-15,121.73,123.66,121.49,123.43
2007-06-22,123.45,124.15,123.09,123.87
2007-06-29,123.82,123.94,122.23,123.16
2007-07-06,123.07,123.54,122.08,123.33
2007-07-13,123.37,123.66,120.98,121.91
2007-07-20,121.88,122.42,120.85,121.26
2007-07-27,121.42,121.61,118.01,118.6
2007-08-03,118.45,119.48,117.6,118.04
2007-08-10,117.78,119.83,117.22,118.39
2007-08-17,118.37,118.55,111.59,114.37
2007-08-24,114.34,117.1,113.77,116.1
2007-08-31,116.57,116.59,113.87,115.76
2007-09-07,115.75,116.46,113.12,113.37
2007-09-14,112.98,115.48,112.72,115.36
2007-09-21,115.31,116.35,113.99,115.47
2007-09-28,115.42,115.88,114.03,114.79
2007-10-05,114.8,117.26,114.75,116.97
2007-10-12,116.98,117.78,116.8,117.6
2007-10-19,117.51,117.93,114.49,114.51
2007-10-26,114.51,115.02,113.25,114.17
2007-11-02,114.11,115.91,114.01,114.83
2007-11-09,114.79,114.79,110.5,110.67
2007-11-16,110.5,111.74,109.13,111.07
2007-11-23,110.85,111.07,107.53,108.26
2007-11-30,108.39,111.21,107.2,111.2
2007-12-07,111.01,111.79,109.56,111.65
2007-12-14,111.41,113.58,110.47,113.26
2007-12-21,113.48,114.19,112.72,113.97
2007-12-28,114.12,114.65,112.65,112.79
2008-01-04,112.55,112.67,107.9,108.45
2008-01-11,108.49,110.09,108.46,108.82
2008-01-18,108.62,108.89,105.91,106.82
2008-01-25,106.7,107.88,104.96,107.01
2008-02-01,106.68,107.46,105.69,106.42
2008-02-08,106.92,107.78,105.9,107.36
2008-02-15,107.35,108.59,106.32,107.69
2008-02-22,107.84,108.35,106.73,106.92
2008-02-29,107.31,108.21,103.82,103.94
2008-03-07,103.06,104.16,101.42,102.55
2008-03-14,102.5,103.59,98.9,99.25
2008-03-21,98.49,100.43,95.78,99.57
2008-03-28,99.37,101.02,98.56,99.19
2008-04-04,99.03,102.94,98.81,101.46
2008-04-11,101.58,102.83,100.03,100.97
2008-04-18,101.1,104.64,100.3,103.67
2008-04-25,103.78,104.81,102.67,104.41
2008-05-02,104.41,105.69,103.22,105.39
2008-05-09,105.34,105.61,102.6,102.85
2008-05-16,102.92,105.43,102.57,104.03
2008-05-23,104.09,104.69,103.0,103.36
2008-05-30,103.31,105.86,103.12,105.5
2008-06-06,105.41,106.41,103.87,104.91
2008-06-13,104.71,108.37,104.46,108.18
2008-06-20,108.08,108.58,107.12,107.32
2008-06-27,107.24,108.42,105.85,106.13
2008-07-04,106.19,106.92,104.99,106.79
2008-07-11,106.8,107.75,105.65,106.28
2008-07-18,106.63,107.07,103.77,106.94
2008-07-25,106.94,107.97,106.05,107.82
2008-08-01,107.86,108.38,107.28,107.68
2008-08-08,107.67,110.36,107.46,110.17
2008-08-15,110.23,110.65,108.38,110.49
2008-08-22,110.47,110.47,108.13,110.09
2008-08-29,110.01,110.28,108.43,108.77
2008-09-05,108.43,109.17,105.53,107.72
2008-09-12,107.72,109.08,106.07,107.92
2008-09-19,107.92,108.03,103.55,107.43
2008-09-26,107.43,107.46,105.04,106.03
2008-10-03,105.97,106.97,103.5,105.3
2008-10-10,105.3,105.37,97.91,100.72
2008-10-17,100.75,103.07,99.28,101.65
2008-10-24,101.41,102.42,90.92,94.28
2008-10-31,94.28,99.71,91.91,98.41
2008-11-07,98.41,100.57,96.77,98.21
2008-11-14,98.23,99.48,94.48,97.1
2008-11-21,96.4,97.15,93.55,95.9
2008-11-28,97.32,97.42,94.6,95.48
2008-12-05,95.53,95.66,91.59,92.79
2008-12-12,92.86,93.91,88.22,91.09
2008-12-19,91.1,91.98,87.14,89.34
2008-12-26,89.29,91.3,89.11,90.75
2009-01-02,90.79,92.42,89.53,91.78
2009-01-09,91.82,94.62,90.21,90.36
2009-01-16,90.38,90.92,88.48,90.64
2009-01-23,90.71,91.3,87.13,88.72
2009-01-30,88.75,90.75,88.27,89.94
2009-02-06,89.9,92.27,88.59,91.84
2009-02-13,91.84,92.42,89.71,91.86
2009-02-20,91.87,94.46,91.17,93.29
2009-02-27,93.3,98.72,92.77,97.56
2009-03-06,97.58,99.68,96.58,98.29
2009-03-13,98.26,99.19,95.67,97.93
2009-03-20,97.95,98.97,93.55,95.91
2009-03-27,95.92,98.87,95.44,97.85
2009-04-03,97.84,100.39,95.96,100.29
2009-04-10,100.29,101.45,99.32,100.2
2009-04-17,100.22,100.74,98.15,99.12
2009-04-24,99.12,99.41,96.64,97.14
2009-05-01,97.16,99.59,95.63,99.08
2009-05-08,99.26,99.77,97.94,98.38
2009-05-15,98.45,98.83,94.73,95.24
2009-05-22,95.16,96.7,93.85,94.76
2009-05-29,94.8,97.24,94.41,95.32
2009-06-05,95.33,98.89,94.45,98.63
2009-06-12,98.65,98.87,97.09,98.37
2009-06-19,98.42,98.58,95.52,96.24
2009-06-26,96.22,96.57,94.88,95.13
2009-07-03,95.17,96.98,95.12,95.98
2009-07-10,95.99,96.24,91.78,92.47
2009-07-17,92.51,94.46,91.74,94.19
2009-07-24,94.18,95.3,93.09,94.77
2009-07-31,94.77,95.89,94.0,94.64
2009-08-07,94.65,97.78,94.36,97.4
2009-08-14,97.5,97.75,94.43,94.92
2009-08-21,94.89,95.3,93.43,94.42
2009-08-28,94.36,95.06,93.22,93.57
2009-09-04,93.63,93.63,91.95,93.02
2009-09-11,92.99,93.3,90.21,90.69
2009-09-18,90.66,91.64,90.11,91.22
2009-09-25,91.38,92.53,89.52,89.65
2009-10-02,89.62,90.41,88.25,89.78
2009-10-09,89.8,89.98,88.0,89.73
2009-10-16,89.8,91.32,88.83,90.87
2009-10-23,90.87,92.14,90.06,92.04
2009-10-30,92.03,92.33,89.92,90.04
2009-11-06,90.08,91.32,89.18,89.87
2009-11-13,89.87,90.61,89.28,89.66
2009-11-20,89.65,89.74,88.64,88.86
2009-11-27,88.82,89.19,84.82,86.4
2009-12-04,86.53,90.77,85.54,90.52
2009-12-11,90.55,90.62,87.37,89.08
2009-12-18,89.05,90.91,88.32,90.45
2009-12-25,90.48,91.87,90.17,91.11
2010-01-01,91.37,93.14,91.2,93.0
2010-01-08,93.0,93.78,91.26,92.66
2010-01-15,92.59,92.68,90.59,90.78
2010-01-22,90.82,91.87,89.78,89.84
2010-01-29,89.81,90.92,89.13,90.27
2010-02-05,90.25,91.28,88.56,89.13
2010-02-12,89.22,90.42,89.14,89.96
2010-02-19,89.9,92.15,89.71,91.48
2010-02-26,91.5,91.91,88.75,88.91
2010-03-05,88.95,90.59,88.14,90.28
2010-03-12,90.25,91.09,89.61,90.56
2010-03-19,90.55,90.96,89.76,90.54
2010-03-26,90.53,92.95,89.83,92.52
2010-04-02,92.45,94.69,92.07,94.6
2010-04-09,94.66,94.67,92.79,93.18
2010-04-16,93.08,93.72,91.86,92.16
2010-04-23,91.98,94.32,91.57,93.96
2010-04-30,94.11,94.6,92.79,93.81
2010-05-07,93.93,94.98,88.11,91.58
2010-05-14,92.48,93.64,91.58,92.5
2010-05-21,92.3,92.96,88.95,90.0
2010-05-28,90.44,91.41,89.23,91.05
2010-06-04,90.98,92.88,90.5,91.88
2010-06-11,91.83,92.08,90.81,91.63
2010-06-18,91.76,92.11,90.41,90.67
2010-06-25,90.42,91.47,89.1,89.23
2010-07-02,89.32,89.47,86.95,87.74
2010-07-09,87.72,88.7,86.98,88.57
2010-07-16,88.65,89.15,86.23,86.56
2010-07-23,86.58,87.57,86.3,87.41
2010-07-30,87.56,88.12,85.93,86.46
2010-08-06,86.41,86.88,85.0,85.5
2010-08-13,85.36,86.37,84.71,86.18
2010-08-20,86.21,86.23,84.85,85.56
2010-08-27,85.6,85.67,83.57,85.21
2010-09-03,85.34,85.9,83.65,84.33
2010-09-10,84.35,84.49,83.31,84.16
2010-09-17,84.19,85.93,82.83,85.84
2010-09-24,85.75,85.8,84.08,84.2
2010-10-01,84.28,84.39,83.12,83.21
2010-10-08,83.27,83.99,81.71,81.91
2010-10-15,81.55,82.36,80.85,81.44
2010-10-22,81.43,81.92,80.84,81.37
2010-10-29,81.38,81.98,80.31,80.31
2010-11-05,80.31,81.58,80.21,81.26
2010-11-12,81.22,82.8,80.5,82.52
2010-11-19,82.45,83.78,82.35,83.53
2010-11-26,83.51,84.18,82.75,84.09
2010-12-03,84.02,84.4,82.5,82.53
2010-12-10,82.63,84.3,82.29,83.9
2010-12-17,83.96,84.51,82.81,83.99
2010-12-24,83.92,84.12,82.82,82.87
2010-12-31,82.79,82.98,80.9,81.12
2011-01-07,81.31,83.67,81.12,83.13
2011-01-14,83.2,83.49,82.38,82.85
2011-01-21,82.78,83.12,81.84,82.53
2011-01-28,82.53,83.21,81.95,82.12
2011-02-04,81.98,82.46,81.14,82.16
2011-02-11,82.17,83.67,81.74,83.43
2011-02-18,83.52,83.98,82.99,83.15
2011-02-25,83.06,83.54,81.58,81.71
2011-03-04,81.64,83.05,81.54,82.31
2011-03-11,82.32,83.3,81.63,81.83
2011-03-18,81.71,82.45,76.43,80.59
2011-03-25,80.85,81.49,80.67,81.34
2011-04-01,81.39,84.72,81.36,84.05
2011-04-08,84.13,85.52,83.82,84.75
2011-04-15,84.91,85.16,82.92,83.12
2011-04-22,83.12,83.26,81.59,81.83
2011-04-29,81.79,82.79,81.01,81.21
2011-05-06,81.1,81.69,79.54,80.62
2011-05-13,80.61,81.34,80.13,80.79
2011-05-20,80.82,82.23,80.61,81.71
2011-05-27,81.75,82.21,80.69,80.79
2011-06-03,80.81,81.77,80.03,80.26
2011-06-10,80.24,80.46,79.67,80.3
2011-06-17,80.27,81.05,79.97,80.05
2011-06-24,80.13,80.79,79.99,80.43
2011-07-01,80.44,81.27,80.24,80.81
2011-07-08,80.79,81.47,80.49,80.66
2011-07-15,80.54,80.83,78.46,79.14
2011-07-22,79.07,79.32,78.2,78.54
2011-07-29,78.24,78.65,76.7,76.77
2011-08-05,77.36,80.24,76.28,78.39
2011-08-12,78.15,78.46,76.29,76.67
2011-08-19,76.9,77.09,75.96,76.5
2011-08-26,76.81,77.69,76.44,76.65
2011-09-02,76.73,77.23,76.4,76.79
2011-09-09,76.86,77.85,76.66,77.59
2011-09-16,77.5,77.59,76.53,76.76
2011-09-23,76.91,76.98,76.1,76.54
2011-09-30,76.57,77.19,76.21,77.01
2011-10-07,77.07,77.11,76.5,76.7
2011-10-14,76.78,77.49,76.3,77.21
2011-10-21,77.14,77.45,75.81,76.27
2011-10-28,76.21,76.47,75.64,75.81
2011-11-04,75.63,79.53,75.56,78.23
2011-11-11,78.17,78.18,77.03,77.11
2011-11-18,77.25,77.33,76.54,76.9
2011-11-25,76.85,77.79,76.72,77.71
2011-12-02,77.56,78.28,77.28,77.99
2011-12-09,78.01,78.11,77.12,77.61
2011-12-16,77.67,78.15,77.52,77.79
2011-12-23,77.77,78.22,77.66,78.05
2011-12-30,78.06,78.11,76.85,76.86
2012-01-06,76.95,77.33,76.59,76.96
2012-01-13,76.89,77.04,76.64,76.95
2012-01-20,77.06,77.32,76.53,77.01
2012-01-27,76.94,78.28,76.62,76.69
